SCL,SCRAmp,SCRFreq,type
0.3192,9,20.905,1
0.0233,0.0055,0.0454,1
0.1805,0.0409,13.634,1
0.1433,0.0134,30.994,1
0.4384,0.0283,4.699,1
0.1957,31,113.976,1
0.3505,0.0298,55.444,1
0.3491,0.0101,0.5999,1
0.1601,0.0138,15.497,1
0.1683,0.0104,12.997,1
0.2559,0.0252,28.494,1
0.0788,0.0113,28.994,1
0.0861,6,0.0454,1
0.4846,0.0315,60.898,1
0.2656,0.0077,30.494,0
0.0235,0.0057,0.05,0
0.2353,0.0085,0.9998,0
0.1527,0.0268,0.8821,0
0.4112,0.0242,2.136,0
11.444,0.1407,143.155,0
0.2337,0.0291,61.987,0
0.1663,0.0107,34.493,0
0.1344,0.0122,0.8998,0
0.1762,0.0085,11.498,0
0.2445,18,14.997,0
0.0482,0.0142,26.813,0
0.1148,14,0.1739,0
0.3296,0.0247,67.486,0